Type,Results
Nonlinear,"[np.float64(-3.1111679257209346), np.float64(-3.152073935273716), np.float64(-3.15867894568062), np.float64(-3.176249883269562), np.float64(-3.2134346733576677), np.float64(-3.2153880090967233), np.float64(-3.2564672911271657), np.float64(-3.2460413728498736), np.float64(-3.2449696078719557), np.float64(-3.323374408399715), np.float64(-3.327766085782713), np.float64(-3.3604723056531327), np.float64(-3.369443952384245), np.float64(-3.394528306207455), np.float64(-3.4141876911235514), np.float64(-3.4224086486793226), np.float64(-3.4523576604578565), np.float64(-3.4541251186254343), np.float64(-3.516687341528403), np.float64(-3.523234987599249), np.float64(-3.5580103264226324), np.float64(-3.5862577138182132), np.float64(-3.6354144584051937), np.float64(-3.6477937249231758)]"
Nonlinear,"[np.float64(-3.1356201167704967), np.float64(-3.1508944897904456), np.float64(-3.1852278618179355), np.float64(-3.1910793367490555), np.float64(-3.1963213534561437), np.float64(-3.2099661628672997), np.float64(-3.243113541378994), np.float64(-3.2710585271936523), np.float64(-3.268768343824971), np.float64(-3.3088763362811413), np.float64(-3.3050392771288273), np.float64(-3.3581890282439844), np.float64(-3.3610723798410618), np.float64(-3.389459109093032), np.float64(-3.4111168642571457), np.float64(-3.4338264963256364), np.float64(-3.4578873342189205), np.float64(-3.482425253279203), np.float64(-3.502179500604697), np.float64(-3.5328993458487616), np.float64(-3.569429478790486), np.float64(-3.588394137154843), np.float64(-3.626733556461197), np.float64(-3.6530989385292116)]"
Nonlinear,"[np.float64(-3.1319541951641554), np.float64(-3.162089029499512), np.float64(-3.1895838127967124), np.float64(-3.1897308980561228), np.float64(-3.206581930227408), np.float64(-3.2268738172909863), np.float64(-3.24169456274452), np.float64(-3.2524462419928843), np.float64(-3.2934155343822376), np.float64(-3.301066703227093), np.float64(-3.3268084009398393), np.float64(-3.3485555919237306), np.float64(-3.361929534061911), np.float64(-3.411814282514925), np.float64(-3.4221891162378313), np.float64(-3.4223025077348836), np.float64(-3.441995891805192), np.float64(-3.495287837603044), np.float64(-3.5103853236683875), np.float64(-3.534411375512647), np.float64(-3.550888328380509), np.float64(-3.5874540412815605), np.float64(-3.618798219131321), np.float64(-3.643859324656958)]"
Nonlinear,"[np.float64(-3.150885512615872), np.float64(-3.1533873399453114), np.float64(-3.176331535437143), np.float64(-3.2003785070651816), np.float64(-3.2290993585667565), np.float64(-3.2192338029179695), np.float64(-3.2130389275119313), np.float64(-3.2736979216059154), np.float64(-3.2825997791368593), np.float64(-3.312563889948996), np.float64(-3.32722813147668), np.float64(-3.327477540944404), np.float64(-3.359809239488098), np.float64(-3.3824463788025376), np.float64(-3.3902704643891504), np.float64(-3.4194069373103986), np.float64(-3.458675899220772), np.float64(-3.5113889556891458), np.float64(-3.4895232832141687), np.float64(-3.5288119744497664), np.float64(-3.55800508954632), np.float64(-3.594532726149552), np.float64(-3.622601810666467), np.float64(-3.651789431940955)]"
Nonlinear,"[np.float64(-3.1227432662657293), np.float64(-3.1703217673442623), np.float64(-3.179501903114655), np.float64(-3.185569537894615), np.float64(-3.2040135290607346), np.float64(-3.237136300344474), np.float64(-3.2295739281883407), np.float64(-3.2728605264926784), np.float64(-3.3008450290124998), np.float64(-3.2988365924562686), np.float64(-3.3238281299808037), np.float64(-3.334963074906497), np.float64(-3.368438440894843), np.float64(-3.3620897588509564), np.float64(-3.397034019147296), np.float64(-3.4503632008761684), np.float64(-3.434577501311047), np.float64(-3.4746911706376977), np.float64(-3.5067362928915813), np.float64(-3.547074281821466), np.float64(-3.5667964252571593), np.float64(-3.5727464297748526), np.float64(-3.6307480789363673), np.float64(-3.655746143319874)]"
Nonlinear,"[np.float64(-3.129533567000948), np.float64(-3.149171158874424), np.float64(-3.166122192191061), np.float64(-3.195462358186205), np.float64(-3.2115388917179217), np.float64(-3.213222623416386), np.float64(-3.2494194756198382), np.float64(-3.257018839274835), np.float64(-3.2995805149068502), np.float64(-3.306922494201615), np.float64(-3.2983312160515244), np.float64(-3.3372686274743124), np.float64(-3.349064454712689), np.float64(-3.3938958801277153), np.float64(-3.378845982822348), np.float64(-3.4450517627788244), np.float64(-3.466955817635153), np.float64(-3.471148903581021), np.float64(-3.526234952675253), np.float64(-3.515656377419468), np.float64(-3.5614263508436608), np.float64(-3.5714804183136124), np.float64(-3.6103866549909966), np.float64(-3.6544868648999405)]"
Nonlinear,"[np.float64(-3.1168927145086514), np.float64(-3.158215028044708), np.float64(-3.1489852007401056), np.float64(-3.1920559913486173), np.float64(-3.2167137716552787), np.float64(-3.224175799983019), np.float64(-3.2281310959283402), np.float64(-3.258148708700393), np.float64(-3.2662740278592493), np.float64(-3.3079741903350737), np.float64(-3.317201701713003), np.float64(-3.3238573511303304), np.float64(-3.3639007103381857), np.float64(-3.3803092772413805), np.float64(-3.395975181519997), np.float64(-3.462431002692476), np.float64(-3.4512362927950235), np.float64(-3.4672143522648184), np.float64(-3.517304243698277), np.float64(-3.524816510878111), np.float64(-3.5562083754819938), np.float64(-3.5958798519155195), np.float64(-3.611474440272147), np.float64(-3.656197826691546)]"
Nonlinear,"[np.float64(-3.141192270496248), np.float64(-3.164506900782925), np.float64(-3.150506843366543), np.float64(-3.1861470024071252), np.float64(-3.226344930924313), np.float64(-3.2336670531115743), np.float64(-3.23142009660609), np.float64(-3.267854850577246), np.float64(-3.2607873437074293), np.float64(-3.2821437656149115), np.float64(-3.3060973189284226), np.float64(-3.367979469230793), np.float64(-3.3542020546184546), np.float64(-3.3822439588383872), np.float64(-3.4170055516797966), np.float64(-3.459358580965649), np.float64(-3.4714013565913575), np.float64(-3.4742885328064403), np.float64(-3.516923386567754), np.float64(-3.5234119078657216), np.float64(-3.55464351646021), np.float64(-3.595384651863313), np.float64(-3.609907186385854), np.float64(-3.6511027954821316)]"
Nonlinear,"[np.float64(-3.124152978233951), np.float64(-3.1509678550204363), np.float64(-3.1673751614746237), np.float64(-3.1898084177365646), np.float64(-3.202229058473254), np.float64(-3.2430484892846323), np.float64(-3.230285808173008), np.float64(-3.2526799360747223), np.float64(-3.2572934084504475), np.float64(-3.3203871907262297), np.float64(-3.306233968544282), np.float64(-3.341460425410933), np.float64(-3.3680642841715738), np.float64(-3.4171552053587675), np.float64(-3.4241379780481864), np.float64(-3.443473824207885), np.float64(-3.448278750007468), np.float64(-3.4931113736504003), np.float64(-3.5129310390565323), np.float64(-3.5495509306091364), np.float64(-3.5600853374240273), np.float64(-3.597793742706222), np.float64(-3.6175430824842607), np.float64(-3.6531582940294385)]"
Nonlinear,"[np.float64(-3.1266108167706648), np.float64(-3.147294724074669), np.float64(-3.1618433357709232), np.float64(-3.182697903820525), np.float64(-3.174028123376292), np.float64(-3.232530727263189), np.float64(-3.238744067055592), np.float64(-3.2351416764424386), np.float64(-3.2948138729937746), np.float64(-3.292397577253892), np.float64(-3.3202881110871623), np.float64(-3.3296830726319984), np.float64(-3.372017816861728), np.float64(-3.3921858960949662), np.float64(-3.392289145702054), np.float64(-3.434933818769796), np.float64(-3.4569654158276037), np.float64(-3.4780486223565745), np.float64(-3.5129886658325375), np.float64(-3.5211028096175156), np.float64(-3.546604200108126), np.float64(-3.5971249118524184), np.float64(-3.6229619548096963), np.float64(-3.6481682321861655)]"
Nonlinear,"[np.float64(-3.167451086887354), np.float64(-3.171470610511264), np.float64(-3.1682747663884143), np.float64(-3.180258147680931), np.float64(-3.1991492512800477), np.float64(-3.2215203958246175), np.float64(-3.2719418912757874), np.float64(-3.2591914433373574), np.float64(-3.2522842503846814), np.float64(-3.309365140227827), np.float64(-3.3041701154417975), np.float64(-3.343381524328791), np.float64(-3.368704549676968), np.float64(-3.372351607392341), np.float64(-3.402236422513834), np.float64(-3.418787023072121), np.float64(-3.4477834317599445), np.float64(-3.4718011936324196), np.float64(-3.505863192536168), np.float64(-3.536364888401259), np.float64(-3.5545080388222523), np.float64(-3.5799092869556333), np.float64(-3.607843360309971), np.float64(-3.6534885817584737)]"
Nonlinear,"[np.float64(-3.1484036522752774), np.float64(-3.143037012862237), np.float64(-3.1670525324371184), np.float64(-3.155312913614715), np.float64(-3.213754956527282), np.float64(-3.2024591576646415), np.float64(-3.224847547574761), np.float64(-3.248765454595393), np.float64(-3.260276092683478), np.float64(-3.30989502221518), np.float64(-3.3161439936111528), np.float64(-3.3463512991832474), np.float64(-3.3691568564758683), np.float64(-3.3727518825667353), np.float64(-3.4057842146689588), np.float64(-3.433484641450235), np.float64(-3.4712379352504357), np.float64(-3.487241089614585), np.float64(-3.508909970272814), np.float64(-3.5334280718462345), np.float64(-3.5271753661792253), np.float64(-3.580109690319347), np.float64(-3.6222174528823317), np.float64(-3.6470532572410974)]"
Nonlinear,"[np.float64(-3.150401434239342), np.float64(-3.1658973228958374), np.float64(-3.1646813366989903), np.float64(-3.1855046398835256), np.float64(-3.189947376156997), np.float64(-3.2242537311535173), np.float64(-3.220292789970987), np.float64(-3.264398792189887), np.float64(-3.279129520818305), np.float64(-3.294110374832573), np.float64(-3.3261163075838738), np.float64(-3.3344404292969787), np.float64(-3.382911221228106), np.float64(-3.3852321614723238), np.float64(-3.4167795301266466), np.float64(-3.422345490478051), np.float64(-3.4485238425752414), np.float64(-3.4968653674306935), np.float64(-3.506870168557576), np.float64(-3.514439208394066), np.float64(-3.5595663371606108), np.float64(-3.6015081296487637), np.float64(-3.6150340684329336), np.float64(-3.643850232470079)]"
Nonlinear,"[np.float64(-3.16208392917423), np.float64(-3.1475796566696204), np.float64(-3.15615813197563), np.float64(-3.179234962538871), np.float64(-3.1885754992686017), np.float64(-3.1945010014621538), np.float64(-3.235175203480731), np.float64(-3.249000024676235), np.float64(-3.313777255096241), np.float64(-3.3194064755500747), np.float64(-3.3157030077726297), np.float64(-3.355302642329427), np.float64(-3.367006719403129), np.float64(-3.382983015759109), np.float64(-3.4079003708457485), np.float64(-3.433186466016373), np.float64(-3.4545800350703786), np.float64(-3.485501236966048), np.float64(-3.5083199822149638), np.float64(-3.5293574507774252), np.float64(-3.557167375871643), np.float64(-3.58813865071167), np.float64(-3.61819807153681), np.float64(-3.6474861883689726)]"
Nonlinear,"[np.float64(-3.1441691436057795), np.float64(-3.171128933100192), np.float64(-3.158949777628635), np.float64(-3.174165274829744), np.float64(-3.1897247481472597), np.float64(-3.2142677584703705), np.float64(-3.236066872491774), np.float64(-3.251088130872775), np.float64(-3.2716505971330467), np.float64(-3.2966628943781373), np.float64(-3.3158520965373857), np.float64(-3.338480230505702), np.float64(-3.369275900926679), np.float64(-3.3818716097848274), np.float64(-3.4227120552868726), np.float64(-3.4253664260342944), np.float64(-3.4489009587698973), np.float64(-3.465361141356489), np.float64(-3.486657688472498), np.float64(-3.5249101255881747), np.float64(-3.5577224796409723), np.float64(-3.5906065035415793), np.float64(-3.628209123490006), np.float64(-3.6468784093614914)]"
Nonlinear,"[np.float64(-3.156246254630247), np.float64(-3.148946655288057), np.float64(-3.1699596553550933), np.float64(-3.1789061919539847), np.float64(-3.1755910905012517), np.float64(-3.2478777155132477), np.float64(-3.2332793567753075), np.float64(-3.250543361361718), np.float64(-3.304765292211396), np.float64(-3.340456334749282), np.float64(-3.324271294149945), np.float64(-3.3419451591328766), np.float64(-3.354413781492955), np.float64(-3.3913251392597203), np.float64(-3.4013580103755583), np.float64(-3.432520789487633), np.float64(-3.4458257084021753), np.float64(-3.4770309088444407), np.float64(-3.50252135730263), np.float64(-3.5493918016390964), np.float64(-3.580204427419037), np.float64(-3.595380474664381), np.float64(-3.6129049607944808), np.float64(-3.6513146321535572)]"
Nonlinear,"[np.float64(-3.1283552261547243), np.float64(-3.160739754342181), np.float64(-3.1781507061860594), np.float64(-3.202667215011587), np.float64(-3.2369441618594976), np.float64(-3.2084370323006635), np.float64(-3.24742005359694), np.float64(-3.2676551161757708), np.float64(-3.301564552327271), np.float64(-3.32358363823397), np.float64(-3.341509421421385), np.float64(-3.3207211929285716), np.float64(-3.362227920021816), np.float64(-3.4009290596352884), np.float64(-3.410755888208641), np.float64(-3.430659865265831), np.float64(-3.4742713072445923), np.float64(-3.4747952820800805), np.float64(-3.5142435004252803), np.float64(-3.5351046623946445), np.float64(-3.5565195810536885), np.float64(-3.5972134729308323), np.float64(-3.622682001911798), np.float64(-3.652817126142942)]"
Nonlinear,"[np.float64(-3.132605026464404), np.float64(-3.1779446860923315), np.float64(-3.1794010112216853), np.float64(-3.165890800113477), np.float64(-3.2207745501383442), np.float64(-3.2022744185819825), np.float64(-3.2213351462160293), np.float64(-3.248970009206715), np.float64(-3.26533316064275), np.float64(-3.321383342574551), np.float64(-3.3000274432282763), np.float64(-3.360933027251347), np.float64(-3.3837825842987286), np.float64(-3.3906097168796094), np.float64(-3.407515267500443), np.float64(-3.41145399308369), np.float64(-3.4597426028742566), np.float64(-3.445137208699705), np.float64(-3.523897181939212), np.float64(-3.5229729983082905), np.float64(-3.567010432833982), np.float64(-3.593932229055715), np.float64(-3.6127783098404933), np.float64(-3.6549011300036653)]"
Nonlinear,"[np.float64(-3.135347521770356), np.float64(-3.1709811523391807), np.float64(-3.1605170461099874), np.float64(-3.2038175232407156), np.float64(-3.2294943142068036), np.float64(-3.228904063020522), np.float64(-3.2288177226827166), np.float64(-3.2583941508158833), np.float64(-3.290992171307197), np.float64(-3.3060393167272775), np.float64(-3.321102170349832), np.float64(-3.317035841840342), np.float64(-3.38503732141627), np.float64(-3.410468258112175), np.float64(-3.3961787811609554), np.float64(-3.4239496167061674), np.float64(-3.4636271302171835), np.float64(-3.4966420889009413), np.float64(-3.5130017589187617), np.float64(-3.52427051133202), np.float64(-3.545805170207842), np.float64(-3.5937205370822625), np.float64(-3.619973534916255), np.float64(-3.6595254464406253)]"
Nonlinear,"[np.float64(-3.1129283354677284), np.float64(-3.1429312382760983), np.float64(-3.1737391692979173), np.float64(-3.1769413478920043), np.float64(-3.229658566953546), np.float64(-3.2275388839359636), np.float64(-3.2464309314536486), np.float64(-3.2426225243754097), np.float64(-3.2822648991432963), np.float64(-3.3159546768552133), np.float64(-3.2925315849164307), np.float64(-3.3235082968420304), np.float64(-3.355094330070191), np.float64(-3.4147021463766407), np.float64(-3.421793997011619), np.float64(-3.4256866963155392), np.float64(-3.4672118332313886), np.float64(-3.48134100739054), np.float64(-3.497119167816031), np.float64(-3.539955971502593), np.float64(-3.5574385436924416), np.float64(-3.5835454105340006), np.float64(-3.624407478690827), np.float64(-3.6532133608812742)]"
